wheel,rule,det_stop_fraction,det_stop_bal_acc,det_stop_n_eval,stop_reason,random_stop_fraction_mean,random_stop_fraction_std,random_stop_bal_acc_mean,random_stop_bal_acc_std,random_stop_n_eval_mean,random_stop_n_eval_std,delta_stop_fraction_vs_random,delta_stop_bal_acc_vs_random,delta_stop_n_eval_vs_random
mod30,target_95,0.013404825737265416,0.9375,15,target_0.95,0.01653261840929401,0.008392256241009283,0.910047336922337,0.045952024536004235,18.5,9.39093473368939,-0.003127792672028595,0.02745266307766303,-3.5
mod30,target_99,0.013404825737265416,0.9375,15,target_0.99,0.031188561215370867,0.05143429956199655,0.9174725850613416,0.03900714040957429,34.9,57.55498120987414,-0.017783735478105453,0.02002741493865845,-19.9
mod30,stability,0.12064343163538874,0.9138332715362748,135,stable_w3_tol0.01,0.17304140601727733,0.05042375665405392,0.8824007112231007,0.021243583915569516,193.63333333333333,56.42418369588635,-0.05239797438188859,0.031432560313174096,-58.633333333333326
mod210,target_95,0.01161751563896336,0.9375,13,target_0.95,0.024992552874590408,0.02619500587134408,0.9074524532919563,0.053428298392299844,27.966666666666665,29.31221157003403,-0.013375037235627048,0.03004754670804366,-14.966666666666665
mod210,target_99,0.01161751563896336,0.9375,13,target_0.99,0.04941912421805183,0.07546370024021175,0.9171787755781288,0.04446791562475458,55.3,84.44388056879694,-0.03780160857908847,0.02032122442187123,-42.3
mod210,stability,0.14924039320822163,0.933008658008658,167,stable_w3_tol0.01,0.12880548108430145,0.035857530048978216,0.8865699387216248,0.028202573785658235,144.13333333333333,40.12457612480663,0.02043491212392018,0.04643871928703314,22.866666666666674
mod2310,target_95,0.010723860589812333,0.9166666666666666,12,target_0.95,0.01805183199285076,0.016745746845856283,0.9179055294741569,0.05855620233285256,20.2,18.73849072051318,-0.007327971403038428,-0.001238862807490304,-8.2
mod2310,target_99,0.010723860589812333,0.9166666666666666,12,target_0.99,0.042657134346142385,0.06381884394790602,0.9276782600729224,0.04837670161831967,47.733333333333334,71.41328637770683,-0.03193327375633005,-0.011011593406255793,-35.733333333333334
mod2310,stability,0.0840035746201966,0.9066673740803622,94,stable_w3_tol0.01,0.15242776288352694,0.040084968314775496,0.8776083747826029,0.02334788423051698,170.56666666666666,44.85507954423379,-0.06842418826333034,0.029058999297759347,-76.56666666666666
