schedule_name,schedule_type,rule_label,rule,accuracy_target_fraction,coverage_target,target_balanced_accuracy,stop_reason,stop_fraction,stop_bal_acc,stop_lane_coverage,stop_class_balance_l1,stop_n_eval,stop_eval_time_seconds,random_stop_fraction_mean,random_stop_fraction_std,random_stop_bal_acc_mean,random_stop_bal_acc_std,random_stop_lane_coverage_mean,random_stop_lane_coverage_std,random_class_balance_l1_mean,random_class_balance_l1_std,random_stop_n_eval_mean,random_stop_n_eval_std,delta_stop_fraction_vs_random,delta_stop_bal_acc_vs_random,delta_lane_coverage_vs_random,delta_class_balance_l1_vs_random,delta_stop_n_eval_vs_random
global_high_conf,global_high_confidence,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,reached,0.013404825737265416,1.0,0.5,0.8157283288650581,15,0.0019668180002554436,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,-0.014268692284778074,0.09408680749046006,0.03749999999999998,0.48712983838895135,-15.966666666666665
global_high_conf,global_high_confidence,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.02680965147453083,1.0,0.75,0.47095621090259165,30,0.001855415999671095,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.016979445933869523,0.11263859076169469,-0.07916666666666672,0.29380546689930076,-19.0
global_high_conf,global_high_confidence,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.05361930294906166,1.0,1.0,0.33762287756925824,60,0.0019761799999287177,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,-0.02359249329758712,0.1130761336686621,0.0,0.18861555522830253,-26.400000000000006
global_high_conf,global_high_confidence,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,0.02680965147453083,1.0,0.75,0.47095621090259165,30,0.001855415999671095,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,-0.025439380399165924,0.1067339579114498,-0.09166666666666667,0.2977252963517016,-28.46666666666667
global_high_conf,global_high_confidence,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,0.05361930294906166,1.0,1.0,0.33762287756925824,60,0.0019761799999287177,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,-0.02716711349419123,0.11032977869406246,0.0,0.1891078407997494,-30.400000000000006
global_low_conf,global_low_confidence,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,not_reached,0.26630920464700625,0.610975233562489,1.0,0.16189550833378316,298,0.0021092659999339958,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,0.23863568662496276,-0.294937958947051,0.5375,-0.16670298214232357,267.03333333333336
global_low_conf,global_low_confidence,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.02680965147453083,0.4107142857142857,0.75,0.7878462913315462,30,0.0019469250000838656,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.016979445933869523,-0.4766471235240196,-0.07916666666666672,0.6106955473282553,-19.0
global_low_conf,global_low_confidence,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.0938337801608579,0.34239214999805495,1.0,0.4640367675220223,105,0.0019324209997648722,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,0.016621983914209118,-0.544531716333283,0.0,0.31502944518106657,18.599999999999994
global_low_conf,global_low_confidence,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,not_reached,0.26630920464700625,0.610975233562489,1.0,0.16189550833378316,298,0.0021092659999339958,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,0.2140601727733095,-0.28229080852606125,0.15833333333333333,-0.011335406217106908,239.53333333333333
global_low_conf,global_low_confidence,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,not_reached,0.26630920464700625,0.610975233562489,1.0,0.16189550833378316,298,0.0021092659999339958,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,0.18552278820375334,-0.2786949877434486,0.0,0.013380471564274327,207.6
hybrid_lane_high_conf,hybrid_lane_high_confidence,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,reached,0.013404825737265416,1.0,1.0,0.9376228775692583,15,0.002074295000056736,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,-0.014268692284778074,0.09408680749046006,0.5375,0.6090243870931515,-15.966666666666665
hybrid_lane_high_conf,hybrid_lane_high_confidence,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,1.0,1.0,0.9376228775692583,15,0.002074295000056736,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.030384271671134937,0.11263859076169469,0.17083333333333328,0.7604721335659674,-34.0
hybrid_lane_high_conf,hybrid_lane_high_confidence,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,1.0,1.0,0.9376228775692583,15,0.002074295000056736,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,-0.06380697050938337,0.1130761336686621,0.0,0.7886155552283026,-71.4
hybrid_lane_high_conf,hybrid_lane_high_confidence,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,1.0,1.0,0.9376228775692583,15,0.002074295000056736,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,-0.03884420613643134,0.1067339579114498,0.15833333333333333,0.7643919630183682,-43.46666666666667
hybrid_lane_high_conf,hybrid_lane_high_confidence,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,1.0,1.0,0.9376228775692583,15,0.002074295000056736,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,-0.06738159070598748,0.11032977869406246,0.0,0.7891078407997495,-75.4
hybrid_lane_low_conf,hybrid_lane_low_confidence,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,reached,0.15996425379803395,0.8451312230027489,1.0,0.11596547196469317,179,0.002144448999843007,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,0.13229073577599046,-0.060781969506791045,0.5375,-0.21263301851141356,148.03333333333333
hybrid_lane_low_conf,hybrid_lane_low_confidence,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,0.5138888888888888,1.0,0.6709562109025916,15,0.0016939019997153082,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.030384271671134937,-0.37347252034941647,0.17083333333333328,0.4938054668993007,-34.0
hybrid_lane_low_conf,hybrid_lane_low_confidence,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,0.5138888888888888,1.0,0.6709562109025916,15,0.0016939019997153082,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,-0.06380697050938337,-0.37303497744244907,0.0,0.5219488885616359,-71.4
hybrid_lane_low_conf,hybrid_lane_low_confidence,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,0.15996425379803395,0.8451312230027489,1.0,0.11596547196469317,179,0.002144448999843007,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,0.10771522192433719,-0.048134819085801306,0.15833333333333333,-0.057265442586196896,120.53333333333333
hybrid_lane_low_conf,hybrid_lane_low_confidence,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,0.15996425379803395,0.8451312230027489,1.0,0.11596547196469317,179,0.002144448999843007,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,0.07917783735478105,-0.04453899830318864,0.0,-0.03254956480481566,88.6
hybrid_lane_round_robin,hybrid_lane_round_robin,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0017441780000808649,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,-0.014268692284778074,0.031586807490460056,0.5375,0.06639704124864754,-15.966666666666665
hybrid_lane_round_robin,hybrid_lane_round_robin,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0017441780000808649,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.030384271671134937,0.05013859076169469,0.17083333333333328,0.21784478772146335,-34.0
hybrid_lane_round_robin,hybrid_lane_round_robin,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0017441780000808649,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,-0.06380697050938337,0.05057613366866209,0.0,0.24598820938379856,-71.4
hybrid_lane_round_robin,hybrid_lane_round_robin,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0017441780000808649,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,-0.03884420613643134,0.044233957911449795,0.15833333333333333,0.2217646171738642,-43.46666666666667
hybrid_lane_round_robin,hybrid_lane_round_robin,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0017441780000808649,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,-0.06738159070598748,0.047829778694062464,0.0,0.24648049495524543,-75.4
mod30,deterministic_mod30,accuracy_only,accuracy_only,0.95,0.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0032824609997987864,0.02767351802204349,0.0384242884856674,0.9059131925095399,0.04720879322998895,0.4625,0.24598062020663616,0.32859849047610673,0.1696350145370165,30.966666666666665,42.99677881546183,-0.014268692284778074,0.031586807490460056,0.5375,0.06639704124864754,-15.966666666666665
mod30,deterministic_mod30,coverage_only_75,coverage_only,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0032824609997987864,0.043789097408400354,0.01610632157703694,0.8873614092383053,0.04546751955679658,0.8291666666666667,0.10108960973019085,0.17715074400329092,0.07455195926471984,49.0,18.022973844704335,-0.030384271671134937,0.05013859076169469,0.17083333333333328,0.21784478772146335,-34.0
mod30,deterministic_mod30,coverage_only_100,coverage_only,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0032824609997987864,0.07721179624664878,0.03198925252402419,0.8869238663313379,0.03597329189672289,1.0,0.0,0.1490073223409557,0.06992429100544653,86.4,35.79597357438307,-0.06380697050938337,0.05057613366866209,0.0,0.24598820938379856,-71.4
mod30,deterministic_mod30,joint_acc95_cov75,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0032824609997987864,0.052249031873696755,0.03388967524105049,0.8932660420885502,0.036354494774790504,0.8416666666666667,0.10346024834933343,0.17323091455089007,0.0731553986630819,58.46666666666667,37.9225465947355,-0.03884420613643134,0.044233957911449795,0.15833333333333333,0.2217646171738642,-43.46666666666667
mod30,deterministic_mod30,joint_acc95_cov100,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,0.013404825737265416,0.9375,1.0,0.39499553172475427,15,0.0032824609997987864,0.08078641644325289,0.03611150435485589,0.8896702213059375,0.0304909567847926,1.0,0.0,0.14851503676950883,0.06996545984502085,90.4,40.40877337308375,-0.06738159070598748,0.047829778694062464,0.0,0.24648049495524543,-75.4
