schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction,cost_query_fraction,cost_accuracy_gap,cost_coverage_gap,cost_class_shift,score_balanced,score_min_queries,score_accuracy_first,score_coverage_first,score_distribution_first,pareto_efficient
mod30,deterministic_mod30,-1,0.05,15,0.013404825737265416,0.0040821289999257715,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783,1.0,0.013404825737265416,0.0,0.0,0.4212733511246664,0.06654220910301631,0.04949998926796262,0.044138058973056456,0.044138058973056456,0.17052006431045638,True
mod30,deterministic_mod30,-1,0.1,30,0.02680965147453083,0.004179241999963779,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397,1.0,0.02680965147453083,0.0,0.0,0.20796797560045743,0.03789760920870132,0.035542105871037705,0.02481824528122537,0.02481824528122537,0.0872086379613626,True
hybrid_lane_round_robin,hybrid_lane_round_robin,-1,0.05,15,0.013404825737265416,0.0016353020000678953,0.9333333333333333,0.9375,0.39499553172475427,1.2622643831084217,1.2477676167627783,1.0,0.013404825737265416,0.0,0.0,0.4212733511246664,0.06654220910301631,0.04949998926796262,0.044138058973056456,0.044138058973056456,0.17052006431045638,True
hybrid_lane_round_robin,hybrid_lane_round_robin,-1,0.1,30,0.02680965147453083,0.0017881569999644853,0.9333333333333333,0.9444444444444444,0.1949955317247542,1.2071942152333426,1.2043928167409397,1.0,0.02680965147453083,0.0,0.0,0.20796797560045743,0.03789760920870132,0.035542105871037705,0.02481824528122537,0.02481824528122537,0.0872086379613626,True
random_matched,random_matched,0,0.25,75,0.06702412868632708,0.001932403999944654,0.9066666666666666,0.9042136591478697,0.03760500446827522,1.4408034009565254,1.3774825496657408,1.0,0.06702412868632708,0.0,0.0,0.040106747998475,0.02277204437135302,0.040873945577327396,0.014064294102796561,0.014064294102796561,0.026096318502339063,True
random_matched,random_matched,2,0.15,45,0.040214477211796246,0.002428010999892649,0.8888888888888888,0.8920454545454546,0.07745010425975576,1.195028155853642,1.0545165884027947,1.0,0.040214477211796246,0.0,0.0,0.08260261786758168,0.022444011983086314,0.030378224253246107,0.014292433368527604,0.014292433368527604,0.03907321872880211,True
random_matched,random_matched,2,0.2,60,0.05361930294906166,0.0025830790000327397,0.8833333333333333,0.8802884615384615,0.0290437890974084,1.2068300593313788,1.1172062737118935,1.0,0.05361930294906166,0.0034368262961327026,0.0,0.030975981700343116,0.01925411219596333,0.0334474213660514,0.013202589390073183,0.011999700186426737,0.021292494696529673,True
random_matched,random_matched,5,0.39999999999999997,120,0.10723860589812333,0.001993573999925502,0.8916666666666667,0.8917934384164223,0.03239499553172476,1.2862799442212898,1.1685809778844998,1.0,0.10723860589812333,0.0,0.0,0.0345501334349981,0.03199217148978055,0.062436246587467645,0.019540804228218307,0.019540804228218307,0.02990584425871774,True
random_matched,random_matched,5,0.44999999999999996,135,0.12064343163538874,0.0020120980000228883,0.8962962962962963,0.895764915161467,0.01390130076457155,1.2767404903100825,1.1481454239522237,1.0,0.12064343163538874,0.0,0.0,0.014826110899309535,0.03238477454374361,0.06783649848939477,0.019579125835239262,0.019579125835239262,0.024026959105032122,True
random_matched,random_matched,8,0.05,15,0.013404825737265416,0.0016552849999698083,0.8666666666666667,0.875,0.12904378909740838,1.248006641300846,1.1000276568573768,0.5,0.013404825737265416,0.009423825155085462,0.5,0.13762866946244753,0.1522938456579634,0.0734914773905121,0.09642788589988585,0.26812954709560594,0.1594181479343402,True
random_matched,random_matched,12,0.15,45,0.040214477211796246,0.0018814739999015728,0.9111111111111111,0.9166666666666667,0.016443252904378924,1.2861097303585192,1.255183432744016,0.75,0.040214477211796246,0.0,0.25,0.017537171178040427,0.07518419497965513,0.04887167958429198,0.04528588869957348,0.13278588869957347,0.06304704005298561,True
random_matched,random_matched,13,0.05,15,0.013404825737265416,0.0017474400001447066,1.0,1.0,0.14977658623771226,1.6580370681678003,1.5579526789602693,0.25,0.013404825737265416,0.0,0.75,0.15974075486084635,0.2148123196634433,0.09834672964158063,0.13048479934667445,0.39298479934667446,0.21590702580492838,True
random_matched,random_matched,15,0.05,15,0.013404825737265416,0.0021810989999266894,1.0,1.0,0.25451295799821266,1.128302507336865,1.0226202465221028,0.375,0.013404825737265416,0.0,0.625,0.2714449104079298,0.20031794299550582,0.09701714519628896,0.12290521490138279,0.3416552149013828,0.23558868802376173,True
random_matched,random_matched,16,0.1,30,0.02680965147453083,0.0017378249999637774,0.9333333333333333,0.9375,0.05522788203753354,1.5639414982557573,1.4831640072191958,0.75,0.02680965147453083,0.0,0.25,0.058902020587114017,0.07803771595669981,0.04563551036970336,0.04741164977989103,0.13491164977989104,0.07758225595602523,True
random_matched,random_matched,18,0.05,15,0.013404825737265416,0.003220704000113983,1.0,1.0,0.2788203753351206,1.728925386656352,1.8148990010869068,0.625,0.013404825737265416,0.0,0.375,0.2973694243232939,0.14170662008281043,0.07460959658782537,0.08799766629291919,0.2192476662929192,0.19595849358990738,True
random_matched,random_matched,21,0.05,15,0.013404825737265416,0.0016942949998792756,1.0,1.0,0.2716711349419124,2.1714413858084094,2.27114261931657,0.5,0.013404825737265416,0.0,0.5,0.2897445672893633,0.17181289152772086,0.08634711088443231,0.10598518058952615,0.28098518058952615,0.21790855077633514,True
random_matched,random_matched,22,0.05,15,0.013404825737265416,0.0017013799999858747,0.9333333333333333,0.9375,0.14977658623771226,1.1296129026050998,1.0268056247744464,0.25,0.013404825737265416,0.0,0.75,0.15974075486084635,0.2148123196634433,0.09834672964158063,0.13048479934667445,0.39298479934667446,0.21590702580492838,True
random_matched,random_matched,23,0.2,60,0.05361930294906166,0.002189188000102149,0.8833333333333333,0.8853609625668449,0.04977658623771228,1.4136879659437296,1.3556075225914608,0.875,0.05361930294906166,0.0,0.125,0.053088067098741934,0.052618035802076704,0.04729942333185811,0.032101702152233444,0.07585170215223344,0.05427812228185602,True
random_matched,random_matched,28,0.5499999999999999,164,0.14655942806076855,0.002149223000060374,0.8902439024390244,0.8863791816938191,0.00646265175788488,1.4374997241946526,1.4293773257704778,1.0,0.14655942806076855,0.0,0.0,0.006892591800489115,0.03767374578526551,0.08129694461347163,0.022673173389164192,0.022673173389164192,0.024740950929310928,True
